Brand,w/c.,value,Volume,Distribution
All others 250/300/330 can 6 pk,18/11/2018,183894,112642,97
All others 250/300/330 can 6 pk,25/11/2018,202364,110252,94
All others 250/300/330 can 6 pk,02/12/2018,225087,118885,95
All others 250/300/330 can 6 pk,09/12/2018,192735,103993,95
All others 250/300/330 can 6 pk,16/12/2018,207312,110858,93
All others 250/300/330 can 6 pk,23/12/2018,231233,136158,98
All others 250/300/330 can 6 pk,30/12/2018,196910,106537,96
All others 250/300/330 can 6 pk,06/01/2019,185179,97842,94
All others 250/300/330 can 6 pk,13/01/2019,160599,85983,93
All others 250/300/330 can 6 pk,20/01/2019,146660,76375,91
All others 250/300/330 can 6 pk,27/01/2019,163502,85141,93
All others 250/300/330 can 6 pk,03/02/2019,207158,120279,96
All others 250/300/330 can 6 pk,10/02/2019,214620,110573,95
All others 250/300/330 can 6 pk,17/02/2019,186587,99648,93
All others 250/300/330 can 6 pk,24/02/2019,192620,100862,95
All others 250/300/330 can 6 pk,03/03/2019,348462,219735,97
All others 250/300/330 can 6 pk,10/03/2019,193541,104033,94
All others 250/300/330 can 6 pk,17/03/2019,216973,115433,95
All others 250/300/330 can 6 pk,24/03/2019,187402,100703,93
All others 250/300/330 can 6 pk,31/03/2019,193948,102909,94
All others 250/300/330 can 6 pk,07/04/2019,216942,113588,95
All others 250/300/330 can 6 pk,14/04/2019,262580,136008,96
All others 250/300/330 can 6 pk,21/04/2019,319103,172289,98
All others 250/300/330 can 6 pk,28/04/2019,249479,128083,96
All others 250/300/330 can 6 pk,05/05/2019,244519,126884,96
All others 250/300/330 can 6 pk,12/05/2019,209435,109786,95
All others 250/300/330 can 6 pk,19/05/2019,223886,125002,96
All others 250/300/330 can 6 pk,26/05/2019,234648,121942,94
All others 250/300/330 can 6 pk,02/06/2019,302467,153541,97
All others 250/300/330 can 6 pk,09/06/2019,269238,145760,97
All others 250/300/330 can 6 pk,16/06/2019,252418,132197,97
All others 250/300/330 can 6 pk,23/06/2019,316305,161790,97
All others 250/300/330 can 6 pk,30/06/2019,276609,138618,96
All others 250/300/330 can 6 pk,07/07/2019,345292,199067,96
All others 250/300/330 can 6 pk,14/07/2019,236081,120926,95
All others 250/300/330 can 6 pk,21/07/2019,332611,170244,98
All others 250/300/330 can 6 pk,28/07/2019,302805,151879,97
All others 250/300/330 can 6 pk,04/08/2019,314607,173370,96
All others 250/300/330 can 6 pk,11/08/2019,284159,142162,97
